Giorno,Giorno_1,Traffico,Traffico_2,Coefficiente di correlazione,Shift
lunedì,1,100,100,-0.09113087482,1
martedì,2,90,90,-0.559458483,2
mercoledì,3,80,80,0.007842875931,3
giovedì,4,80,80,-0.02338680234,4
venerdì,5,90,90,-0.534256028,5
sabato,6,60,60,0,6
domenica,7,40,40,0.9977639837,7
lunedì,8,105,105,0.05930718719,8
martedì,9,95,95,-0.4396407206,9
mercoledì,10,80,80,0.1389668944,10
giovedì,11,85,85,0.08159867485,11
venerdì,12,95,95,-0.5084111622,12
sabato,13,60,60,-0.1395552057,13
domenica,14,35,35,0.9903271912,14
lunedì,15,100,100,-0.09368133177,15
martedì,16,90,90,-0.556577324,16
mercoledì,17,75,75,0.04690409268,17
giovedì,18,80,80,-0.02466503348,18
venerdì,19,90,90,-0.4658950769,19
sabato,20,65,65,0.09244271717,20
domenica,21,40,40,0.9946005566,21
lunedì,22,105,105,,
martedì,23,90,90,,
mercoledì,24,80,80,,
giovedì,25,85,85,,
venerdì,26,90,90,,
sabato,27,55,55,,
domenica,28,35,35,,